Grandezza,Valore,Giorno,Mese,Anno
TEMPARIA2M_MING,"-3,8",1,1,2017
TEMPARIA2M_MING,"-1,7",2,1,2017
TEMPARIA2M_MING,"-1,5",3,1,2017
TEMPARIA2M_MING,"-2,9",4,1,2017
TEMPARIA2M_MING,"-1,1",5,1,2017
TEMPARIA2M_MING,"-5,9",6,1,2017
TEMPARIA2M_MING,"-7,9",7,1,2017
TEMPARIA2M_MING,"-6,7",8,1,2017
TEMPARIA2M_MING,"-4,9",9,1,2017
TEMPARIA2M_MING,"-3,6",10,1,2017
TEMPARIA2M_MING,"-6,2",11,1,2017
TEMPARIA2M_MING,"-2,5",12,1,2017
TEMPARIA2M_MING,"0,2",13,1,2017
TEMPARIA2M_MING,"-6,8",14,1,2017
TEMPARIA2M_MING,"-0,5",15,1,2017
TEMPARIA2M_MING,"0,8",16,1,2017
TEMPARIA2M_MING,"1,5",17,1,2017
TEMPARIA2M_MING,"2,6",18,1,2017
TEMPARIA2M_MING,"2,5",19,1,2017
TEMPARIA2M_MING,"-1,8",20,1,2017
TEMPARIA2M_MING,"-1,2",21,1,2017
TEMPARIA2M_MING,"3,4",22,1,2017
TEMPARIA2M_MING,"4,4",23,1,2017
TEMPARIA2M_MING,"2,4",24,1,2017
TEMPARIA2M_MING,"1,8",25,1,2017
TEMPARIA2M_MING,"-0,1",26,1,2017
TEMPARIA2M_MING,"-1,6",27,1,2017
TEMPARIA2M_MING,"1,4",28,1,2017
TEMPARIA2M_MING,"-1,3",29,1,2017
TEMPARIA2M_MING,"-0,5",30,1,2017
TEMPARIA2M_MING,"3,1",31,1,2017
TEMPARIA2M_MING,"8,5",1,2,2017
TEMPARIA2M_MING,"9,2",2,2,2017
TEMPARIA2M_MING,"10,2",3,2,2017
TEMPARIA2M_MING,"7,9",4,2,2017
TEMPARIA2M_MING,"8,4",5,2,2017
TEMPARIA2M_MING,"5,3",6,2,2017
TEMPARIA2M_MING,"1,7",7,2,2017
TEMPARIA2M_MING,"2,3",8,2,2017
TEMPARIA2M_MING,5,9,2,2017
TEMPARIA2M_MING,"2,9",10,2,2017
TEMPARIA2M_MING,"2,1",11,2,2017
TEMPARIA2M_MING,"3,5",12,2,2017
TEMPARIA2M_MING,"3,5",13,2,2017
TEMPARIA2M_MING,"1,5",14,2,2017
TEMPARIA2M_MING,"-0,2",15,2,2017
TEMPARIA2M_MING,"-0,3",16,2,2017
TEMPARIA2M_MING,"1,4",17,2,2017
TEMPARIA2M_MING,"4,3",18,2,2017
TEMPARIA2M_MING,-1,19,2,2017
TEMPARIA2M_MING,"-1,2",20,2,2017
TEMPARIA2M_MING,"-1,1",21,2,2017
TEMPARIA2M_MING,"2,7",22,2,2017
TEMPARIA2M_MING,"8,6",23,2,2017
TEMPARIA2M_MING,"9,7",24,2,2017
TEMPARIA2M_MING,5,25,2,2017
TEMPARIA2M_MING,"1,9",26,2,2017
TEMPARIA2M_MING,2,27,2,2017
TEMPARIA2M_MING,"2,7",28,2,2017
TEMPARIA2M_MING,"1,2",1,3,2017
TEMPARIA2M_MING,"1,1",2,3,2017
TEMPARIA2M_MING,"1,4",3,3,2017
TEMPARIA2M_MING,"6,2",4,3,2017
TEMPARIA2M_MING,"3,5",5,3,2017
TEMPARIA2M_MING,"2,9",6,3,2017
TEMPARIA2M_MING,"6,4",7,3,2017
TEMPARIA2M_MING,5,8,3,2017
TEMPARIA2M_MING,"1,4",9,3,2017
TEMPARIA2M_MING,"3,5",10,3,2017
TEMPARIA2M_MING,"0,4",11,3,2017
TEMPARIA2M_MING,"-0,5",12,3,2017
TEMPARIA2M_MING,"0,4",13,3,2017
TEMPARIA2M_MING,"0,2",14,3,2017
TEMPARIA2M_MING,"1,5",15,3,2017
TEMPARIA2M_MING,"1,1",16,3,2017
TEMPARIA2M_MING,"2,9",17,3,2017
TEMPARIA2M_MING,"2,6",18,3,2017
TEMPARIA2M_MING,"9,7",19,3,2017
TEMPARIA2M_MING,"6,1",20,3,2017
TEMPARIA2M_MING,"4,5",21,3,2017
TEMPARIA2M_MING,"4,3",22,3,2017
TEMPARIA2M_MING,"5,2",23,3,2017
TEMPARIA2M_MING,"5,1",24,3,2017
TEMPARIA2M_MING,"5,2",25,3,2017
TEMPARIA2M_MING,"3,2",26,3,2017
TEMPARIA2M_MING,2,27,3,2017
TEMPARIA2M_MING,"-0,2",28,3,2017
TEMPARIA2M_MING,"0,1",29,3,2017
TEMPARIA2M_MING,"4,2",30,3,2017
TEMPARIA2M_MING,"3,8",31,3,2017
TEMPARIA2M_MING,"2,5",1,4,2017
TEMPARIA2M_MING,"8,2",2,4,2017
TEMPARIA2M_MING,"7,7",3,4,2017
TEMPARIA2M_MING,"4,8",4,4,2017
TEMPARIA2M_MING,5,5,4,2017
TEMPARIA2M_MING,"4,2",6,4,2017
TEMPARIA2M_MING,"4,1",7,4,2017
TEMPARIA2M_MING,"4,3",8,4,2017
TEMPARIA2M_MING,"5,9",9,4,2017
TEMPARIA2M_MING,"6,4",10,4,2017
TEMPARIA2M_MING,5,11,4,2017
TEMPARIA2M_MING,"5,7",12,4,2017
TEMPARIA2M_MING,"4,8",13,4,2017
TEMPARIA2M_MING,"7,9",14,4,2017
TEMPARIA2M_MING,7,15,4,2017
TEMPARIA2M_MING,"7,2",16,4,2017
TEMPARIA2M_MING,"4,6",17,4,2017
TEMPARIA2M_MING,"4,3",18,4,2017
TEMPARIA2M_MING,"-1,3",19,4,2017
TEMPARIA2M_MING,"-1,9",20,4,2017
TEMPARIA2M_MING,"-1,5",21,4,2017
TEMPARIA2M_MING,"-1,8",22,4,2017
TEMPARIA2M_MING,"1,1",23,4,2017
TEMPARIA2M_MING,"3,1",24,4,2017
TEMPARIA2M_MING,"4,5",25,4,2017
TEMPARIA2M_MING,10,26,4,2017
TEMPARIA2M_MING,"12,2",27,4,2017
TEMPARIA2M_MING,"4,8",28,4,2017
TEMPARIA2M_MING,"2,6",29,4,2017
TEMPARIA2M_MING,"3,6",30,4,2017
TEMPARIA2M_MING,"3,2",1,5,2017
TEMPARIA2M_MING,"4,1",2,5,2017
TEMPARIA2M_MING,"7,9",3,5,2017
TEMPARIA2M_MING,"8,6",4,5,2017
TEMPARIA2M_MING,"9,1",5,5,2017
TEMPARIA2M_MING,"8,3",6,5,2017
TEMPARIA2M_MING,"6,5",7,5,2017
TEMPARIA2M_MING,"5,7",8,5,2017
TEMPARIA2M_MING,"5,4",9,5,2017
TEMPARIA2M_MING,"6,9",10,5,2017
TEMPARIA2M_MING,"9,2",11,5,2017
TEMPARIA2M_MING,12,12,5,2017
TEMPARIA2M_MING,"9,3",13,5,2017
TEMPARIA2M_MING,"8,6",14,5,2017
TEMPARIA2M_MING,"9,8",15,5,2017
TEMPARIA2M_MING,"10,9",16,5,2017
TEMPARIA2M_MING,"10,7",17,5,2017
TEMPARIA2M_MING,"10,6",18,5,2017
TEMPARIA2M_MING,"10,7",19,5,2017
TEMPARIA2M_MING,"8,9",20,5,2017
TEMPARIA2M_MING,"9,2",21,5,2017
TEMPARIA2M_MING,9,22,5,2017
TEMPARIA2M_MING,"8,6",23,5,2017
TEMPARIA2M_MING,"9,4",24,5,2017
TEMPARIA2M_MING,"10,4",25,5,2017
TEMPARIA2M_MING,"8,8",26,5,2017
TEMPARIA2M_MING,"8,3",27,5,2017
TEMPARIA2M_MING,"9,3",28,5,2017
